               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11584,             0.03721,            0.046244,           0.0045105,              0.2754,            0.033034,               0.013,             0.11741,            0.025815,            0.048633,              0.0973,              0.0003,              0.0003
                   1,             0.11149,            0.037124,            0.042908,           0.0039117,              0.3328,            0.052753,            0.020428,             0.11254,            0.024227,            0.045372,            0.093696,          0.00069592,          0.00069592
                   2,            0.095788,            0.035698,            0.038968,           0.0046351,             0.47989,            0.070137,            0.025762,              0.1035,            0.022926,            0.040312,            0.090087,           0.0010872,           0.0010872
                   3,            0.092525,            0.038545,            0.039889,           0.0042023,             0.70238,            0.060443,            0.016136,            0.096313,             0.02199,            0.035799,            0.086474,           0.0014738,           0.0014738
                   4,            0.090498,            0.036501,            0.035925,           0.0045321,             0.88148,            0.075748,            0.022566,            0.088921,            0.021565,             0.03237,            0.082856,           0.0018557,           0.0018557
                   5,            0.085202,             0.03956,            0.031518,             0.12471,            0.087037,             0.13988,              0.0453,             0.07494,            0.021351,            0.027848,            0.079233,            0.002233,            0.002233
                   6,            0.072421,            0.036109,             0.02817,             0.44543,            0.055556,             0.17675,             0.06513,            0.065389,            0.020871,            0.020622,            0.075606,           0.0026057,           0.0026057
                   7,            0.072855,            0.041135,            0.032125,             0.42433,               0.154,             0.22848,            0.090088,            0.059457,            0.020385,            0.017646,            0.071974,           0.0029736,           0.0029736
                   8,             0.06421,            0.035945,            0.024015,             0.42661,             0.29726,             0.30706,             0.13207,            0.060902,            0.019675,             0.01501,            0.068337,           0.0033369,           0.0033369
                   9,            0.069587,            0.037762,            0.021967,             0.35644,              0.5011,             0.39104,             0.19504,             0.06119,            0.019398,            0.011944,            0.064696,           0.0036956,           0.0036956
                  10,            0.068166,            0.034756,            0.022155,             0.28176,             0.44127,             0.33895,             0.17194,            0.058366,              0.0188,            0.011339,             0.06105,           0.0040496,           0.0040496
